	Feature	KW	Group1	Group2	p	q
0	Methanobrevibacter	3.566513731917223e-06	RSP_d0	E_d13	0.14475199370403255	0.27020372158086076
1	Methanobrevibacter	3.566513731917223e-06	RSP_d0	FR_d13	0.04495849590827911	0.096833683494755
2	Methanobrevibacter	3.566513731917223e-06	RSP_d0	FL_d13	0.1424438220099007	0.27020372158086076
3	Methanobrevibacter	3.566513731917223e-06	RSP_d0	E_d7	0.5046808784590857	0.6729078379454476
4	Methanobrevibacter	3.566513731917223e-06	RSP_d0	FL_d7	0.6020664488878043	0.7662663894935691
5	Methanobrevibacter	3.566513731917223e-06	RSP_d0	RF_d0	0.49006000250742354	0.6729078379454476
6	Methanobrevibacter	3.566513731917223e-06	RSP_d0	SAM_d13	0.16280442620331836	0.28490774585580714
7	Methanobrevibacter	3.566513731917223e-06	E_d13	FR_d13	0.46746337660450743	0.6729078379454476
8	Methanobrevibacter	3.566513731917223e-06	E_d13	FL_d13	0.990100070694594	0.990100070694594
9	Methanobrevibacter	3.566513731917223e-06	E_d13	E_d7	0.001756420750574023	0.009835956203214528
10	Methanobrevibacter	3.566513731917223e-06	E_d13	FL_d7	0.0035669646763891094	0.012484376367361884
11	Methanobrevibacter	3.566513731917223e-06	E_d13	RF_d0	0.011946123148043395	0.030408313467746823
12	Methanobrevibacter	3.566513731917223e-06	E_d13	SAM_d13	0.9265597875438873	0.9608768167121795
13	Methanobrevibacter	3.566513731917223e-06	FR_d13	FL_d13	0.47628836218340265	0.6729078379454476
14	Methanobrevibacter	3.566513731917223e-06	FR_d13	E_d7	1.4299780416005138e-05	0.0004003938516481439
15	Methanobrevibacter	3.566513731917223e-06	FR_d13	FL_d7	4.285093630969891e-05	0.0005999131083357848
16	Methanobrevibacter	3.566513731917223e-06	FR_d13	RF_d0	0.0012425286266234128	0.009835956203214528
17	Methanobrevibacter	3.566513731917223e-06	FR_d13	SAM_d13	0.40481886259137356	0.6667604795622624
18	Methanobrevibacter	3.566513731917223e-06	FL_d13	E_d7	0.0016836822029030424	0.009835956203214528
19	Methanobrevibacter	3.566513731917223e-06	FL_d13	FL_d7	0.003427721745112087	0.012484376367361884
20	Methanobrevibacter	3.566513731917223e-06	FL_d13	RF_d0	0.011632153448957428	0.030408313467746823
21	Methanobrevibacter	3.566513731917223e-06	FL_d13	SAM_d13	0.9167074592261492	0.9608768167121795
22	Methanobrevibacter	3.566513731917223e-06	E_d7	FL_d7	0.8301713350221809	0.9608768167121795
23	Methanobrevibacter	3.566513731917223e-06	E_d7	RF_d0	0.8817638470778092	0.9608768167121795
24	Methanobrevibacter	3.566513731917223e-06	E_d7	SAM_d13	0.002394019907416802	0.011172092901278411
25	Methanobrevibacter	3.566513731917223e-06	FL_d7	RF_d0	0.7559020186878966	0.9202285444896133
26	Methanobrevibacter	3.566513731917223e-06	FL_d7	SAM_d13	0.004773369734035787	0.014850483617000226
27	Methanobrevibacter	3.566513731917223e-06	RF_d0	SAM_d13	0.014523218993079956	0.03388751098385323
28	Methanomethylophilaceae uncl	0.02391385232470924	RSP_d0	E_d13	0.021351772614493107	0.1195699266411614
29	Methanomethylophilaceae uncl	0.02391385232470924	RSP_d0	FR_d13	0.006029289181848851	0.060968875282518584
30	Methanomethylophilaceae uncl	0.02391385232470924	RSP_d0	FL_d13	0.03422109121883059	0.13688436487532235
31	Methanomethylophilaceae uncl	0.02391385232470924	RSP_d0	E_d7	0.0003491684155309934	0.009776715634867816
32	Methanomethylophilaceae uncl	0.02391385232470924	RSP_d0	FL_d7	0.07783135413925851	0.21792779158992384
33	Methanomethylophilaceae uncl	0.02391385232470924	RSP_d0	RF_d0	0.04369191746629687	0.15292171113203906
34	Methanomethylophilaceae uncl	0.02391385232470924	RSP_d0	SAM_d13	0.008709839326074083	0.060968875282518584
35	Methanomethylophilaceae uncl	0.02391385232470924	E_d13	FR_d13	0.6326989490892616	0.80946913790829
36	Methanomethylophilaceae uncl	0.02391385232470924	E_d13	FL_d13	0.786231852111856	0.8660810763749568
37	Methanomethylophilaceae uncl	0.02391385232470924	E_d13	E_d7	0.06073701896455681	0.18895961455639895
38	Methanomethylophilaceae uncl	0.02391385232470924	E_d13	FL_d7	0.42815675516377893	0.7064053054416717
39	Methanomethylophilaceae uncl	0.02391385232470924	E_d13	RF_d0	0.9657983256000174	0.9657983256000174
40	Methanomethylophilaceae uncl	0.02391385232470924	E_d13	SAM_d13	0.6360114654993707	0.80946913790829
41	Methanomethylophilaceae uncl	0.02391385232470924	FR_d13	FL_d13	0.42888893544672924	0.7064053054416717
42	Methanomethylophilaceae uncl	0.02391385232470924	FR_d13	E_d7	0.09148809276455935	0.2328787815825147
43	Methanomethylophilaceae uncl	0.02391385232470924	FR_d13	FL_d7	0.16366266576776212	0.33839039203535837
44	Methanomethylophilaceae uncl	0.02391385232470924	FR_d13	RF_d0	0.7705661259228093	0.8660810763749568
45	Methanomethylophilaceae uncl	0.02391385232470924	FR_d13	SAM_d13	0.945333226020322	0.9657983256000174
46	Methanomethylophilaceae uncl	0.02391385232470924	FL_d13	E_d7	0.03182418100020924	0.13688436487532235
47	Methanomethylophilaceae uncl	0.02391385232470924	FL_d13	FL_d7	0.602267293125404	0.80946913790829
48	Methanomethylophilaceae uncl	0.02391385232470924	FL_d13	RF_d0	0.8042181423481742	0.8660810763749568
49	Methanomethylophilaceae uncl	0.02391385232470924	FL_d13	SAM_d13	0.45658025627615895	0.7102359542073583
50	Methanomethylophilaceae uncl	0.02391385232470924	E_d7	FL_d7	0.007635995452398059	0.060968875282518584
51	Methanomethylophilaceae uncl	0.02391385232470924	E_d7	RF_d0	0.16919519601767918	0.33839039203535837
52	Methanomethylophilaceae uncl	0.02391385232470924	E_d7	SAM_d13	0.16087872545534854	0.33839039203535837
53	Methanomethylophilaceae uncl	0.02391385232470924	FL_d7	RF_d0	0.5209779131756247	0.7677569246798679
54	Methanomethylophilaceae uncl	0.02391385232470924	FL_d7	SAM_d13	0.20564467437353529	0.3838700588305992
55	Methanomethylophilaceae uncl	0.02391385232470924	RF_d0	SAM_d13	0.7528455126795421	0.8660810763749568
56	Methanomicrobium	3.1865823781300984e-12	RSP_d0	E_d13	0.15265110338635038	0.2671394309261132
57	Methanomicrobium	3.1865823781300984e-12	RSP_d0	FR_d13	0.08637525088166678	0.2015422520572225
58	Methanomicrobium	3.1865823781300984e-12	RSP_d0	FL_d13	0.2517826337031138	0.4147008084521875
59	Methanomicrobium	3.1865823781300984e-12	RSP_d0	E_d7	0.03318067905806678	0.08445991032962452
60	Methanomicrobium	3.1865823781300984e-12	RSP_d0	FL_d7	0.30281115233782885	0.4242978887901026
61	Methanomicrobium	3.1865823781300984e-12	RSP_d0	RF_d0	0.11130782373192574	0.22261564746385148
62	Methanomicrobium	3.1865823781300984e-12	RSP_d0	SAM_d13	0.335755761863174	0.4476743491508987
63	Methanomicrobium	3.1865823781300984e-12	E_d13	FR_d13	2.3125677630477325e-07	3.2375948682668257e-06
64	Methanomicrobium	3.1865823781300984e-12	E_d13	FL_d13	0.6757056692655804	0.7276830284398558
65	Methanomicrobium	3.1865823781300984e-12	E_d13	E_d7	0.303069920564359	0.4242978887901026
66	Methanomicrobium	3.1865823781300984e-12	E_d13	FL_d7	0.5561977406795406	0.6488973641261307
67	Methanomicrobium	3.1865823781300984e-12	E_d13	RF_d0	0.6424383326002316	0.7195309325122594
68	Methanomicrobium	3.1865823781300984e-12	E_d13	SAM_d13	0.00042809727991500324	0.001712389119660013
69	Methanomicrobium	3.1865823781300984e-12	FR_d13	FL_d13	2.7423213661541805e-06	2.559499941743902e-05
70	Methanomicrobium	3.1865823781300984e-12	FR_d13	E_d7	1.9982867992212163e-10	5.595203037819406e-09
71	Methanomicrobium	3.1865823781300984e-12	FR_d13	FL_d7	7.0313008143875274e-06	3.937528456057015e-05
72	Methanomicrobium	3.1865823781300984e-12	FR_d13	RF_d0	3.1985932391450106e-05	0.00014926768449343382
73	Methanomicrobium	3.1865823781300984e-12	FR_d13	SAM_d13	0.2690403839263886	0.41850726388549336
74	Methanomicrobium	3.1865823781300984e-12	FL_d13	E_d7	0.1475603884575237	0.2671394309261132
75	Methanomicrobium	3.1865823781300984e-12	FL_d13	FL_d7	0.8648778275506904	0.8648778275506904
76	Methanomicrobium	3.1865823781300984e-12	FL_d13	RF_d0	0.43508470597930005	0.5296683377139305
77	Methanomicrobium	3.1865823781300984e-12	FL_d13	SAM_d13	0.001910538468949583	0.0059438974589542575
78	Methanomicrobium	3.1865823781300984e-12	E_d7	FL_d7	0.10558269506356872	0.22261564746385148
79	Methanomicrobium	3.1865823781300984e-12	E_d7	RF_d0	0.753355451131967	0.7812575048775954
80	Methanomicrobium	3.1865823781300984e-12	E_d7	SAM_d13	5.313822386741263e-06	3.719675670718884e-05
81	Methanomicrobium	3.1865823781300984e-12	FL_d7	RF_d0	0.3632681235045595	0.4623412480967121
82	Methanomicrobium	3.1865823781300984e-12	FL_d7	SAM_d13	0.003350237878392768	0.00938066605949975
83	Methanomicrobium	3.1865823781300984e-12	RF_d0	SAM_d13	0.0017673761237821483	0.0059438974589542575
84	Methanosphaera	8.166872388111785e-06	RSP_d0	E_d13	0.00010665740621543219	0.0014932036870160506
85	Methanosphaera	8.166872388111785e-06	RSP_d0	FR_d13	0.029536566810386605	0.06361722082237115
86	Methanosphaera	8.166872388111785e-06	RSP_d0	FL_d13	0.00033746936982200496	0.003149714118338713
87	Methanosphaera	8.166872388111785e-06	RSP_d0	E_d7	6.20211540867256e-05	0.0014932036870160506
88	Methanosphaera	8.166872388111785e-06	RSP_d0	FL_d7	0.007302995441132525	0.02044838723517107
89	Methanosphaera	8.166872388111785e-06	RSP_d0	RF_d0	0.45226385122028	0.5276411597569933
90	Methanosphaera	8.166872388111785e-06	RSP_d0	SAM_d13	0.0028360332953885786	0.008823214696764467
91	Methanosphaera	8.166872388111785e-06	E_d13	FR_d13	0.0018891306809551175	0.00755652272382047
92	Methanosphaera	8.166872388111785e-06	E_d13	FL_d13	0.6692306994443419	0.6940170216459841
93	Methanosphaera	8.166872388111785e-06	E_d13	E_d7	0.8481776360023305	0.8481776360023305
94	Methanosphaera	8.166872388111785e-06	E_d13	FL_d7	0.07927561473928797	0.13873232579375397
95	Methanosphaera	8.166872388111785e-06	E_d13	RF_d0	0.0008340275344111225	0.0040792222848968955
96	Methanosphaera	8.166872388111785e-06	E_d13	SAM_d13	0.19020453113888924	0.253606041518519
97	Methanosphaera	8.166872388111785e-06	FR_d13	FL_d13	0.008953158124825219	0.02278985704500965
98	Methanosphaera	8.166872388111785e-06	FR_d13	E_d7	0.0008741190610493348	0.0040792222848968955
99	Methanosphaera	8.166872388111785e-06	FR_d13	FL_d7	0.2798123407499489	0.35612479731811675
100	Methanosphaera	8.166872388111785e-06	FR_d13	RF_d0	0.15798319728499022	0.232817343367354
101	Methanosphaera	8.166872388111785e-06	FR_d13	SAM_d13	0.11082356633774462	0.1825329327915794
102	Methanosphaera	8.166872388111785e-06	FL_d13	E_d7	0.5361481329200768	0.600485908870486
103	Methanosphaera	8.166872388111785e-06	FL_d13	FL_d7	0.18427703325235556	0.253606041518519
104	Methanosphaera	8.166872388111785e-06	FL_d13	RF_d0	0.0025418717273670327	0.008823214696764467
105	Methanosphaera	8.166872388111785e-06	FL_d13	SAM_d13	0.37736042851016194	0.45939530427324066
106	Methanosphaera	8.166872388111785e-06	E_d7	FL_d7	0.0516128530648176	0.09634399238765953
107	Methanosphaera	8.166872388111785e-06	E_d7	RF_d0	0.0004903634022153796	0.003432543815507657
108	Methanosphaera	8.166872388111785e-06	E_d7	SAM_d13	0.1332473667597756	0.2072736816263176
109	Methanosphaera	8.166872388111785e-06	FL_d7	RF_d0	0.04393980937101925	0.0878796187420385
110	Methanosphaera	8.166872388111785e-06	FL_d7	SAM_d13	0.6563700695261074	0.6940170216459841
111	Methanosphaera	8.166872388111785e-06	RF_d0	SAM_d13	0.018723018900705365	0.04368704410164585
