#OTU ID	AB1048	AB1049	AB1050	AB1051	AB1052	AB1053	AB1054	AB1055	AB1056	AB1057	AB1058	AB1059	AB1060	AB1061	AB1062	AB1063	AB1064	AB1065	AB1066	AB1067	AB1068	AB1069	AB1070	AB1071	AB1072	AB1073	AB1074	AB1075	AB1076	AB2007	AB2008	AB2009	AB2010	AB2011	AB2012	AB2013	AB1008	AB1009	AB1010	AB1011	AB1012	AB1013	AB1042	AB1043	AB1044	AB1045	AB1046	AB1047	AB2058	AB2059	AB2060	AB2061	AB2062	AB2063	AB2064	AB2065	AB2066	AB2067	AB2068	AB2069	AB2070	AB2071	AB2072	AB2073	AB2074	AB2075	AB2076	AB1007	AB1014	AB1015	AB1016	AB1017	AB1018	AB1019	AB1020	AB1021	AB1022	AB1023	AB1024	AB1025	AB1026	AB1037	AB1038	AB1039	AB1040	AB1041	AB2014	AB2015	AB2016	AB2017	AB2018	AB2019	AB2020	AB2021	AB2022	AB2023	AB2024	AB2025	AB2026	AB2037	AB2038	AB2039	AB2040	AB2041	AB2042	AB2043	AB2044	AB2045	AB2046	AB2047	AB2048	AB2049	AB2050	AB2051	AB2052	AB2053	AB2054	AB2055	AB2056	AB2057
Tot_gas	1695.1	1120.2	1270.2	1119.7	1068.0	1214.0	1072.9	886.8	1096.1	1247.2	1695.1	1116.4	1117.5	1202.8	853.5	1214.0	1072.9	886.8	1083.2	1382.0	1695.1	1120.2	1270.2	1119.7	1068.0	1214.0	1072.9	886.8	1096.1	1468.2	1468.2	1360.3	1360.3	1105.2	1105.2	1372.2	1382.0	1695.1	1695.1	1120.2	1120.2	1270.2	853.5	1214.0	1072.9	886.8	1083.2	1382.0	1181.8	1115.6	1183.6	1092.0	1208.9	1019.3	1180.1	1161.5	986.3	1468.2	1360.3	1105.2	1372.2	1057.8	1238.2	1238.2	1434.8	1331.0	1203.6	1382.0	1270.2	1119.7	1119.7	1068.0	1068.0	1214.0	1214.0	1072.9	1072.9	886.8	886.8	1096.1	1096.1	1247.2	1695.1	1116.4	1117.5	1202.8	1372.2	1057.8	1057.8	1238.2	1238.2	1238.2	1238.2	1434.8	1434.8	1331.0	1331.0	1203.6	1203.6	1289.5	1181.8	1115.6	1183.6	1092.0	1208.9	1019.3	1180.1	1161.5	986.3	1468.2	1360.3	1105.2	1372.2	1057.8	1238.2	1238.2	1434.8	1331.0	1203.6	1289.5
CH4_p	24.54	18.15	21.65	11.51	20.26	14.55	19.78	15.53	22.9	13.77	24.54	11.89	16.79	8.57	9.01	14.55	19.78	15.53	17.19	19.72	24.54	18.15	21.65	11.51	20.26	14.55	19.78	15.53	22.9	15.69	15.69	19.5	19.5	15.12	15.12	17.57	19.72	24.54	24.54	18.15	18.15	21.65	9.01	14.55	19.78	15.53	17.19	19.72	15.02	15.12	12.9	11.25	13.37	11.49	15.69	9.43	13.41	15.69	19.5	15.12	17.57	15.61	18.08	16.12	20.86	12.49	17.93	19.72	21.65	11.51	11.51	20.26	20.26	14.55	14.55	19.78	19.78	15.53	15.53	22.9	22.9	13.77	24.54	11.89	16.79	8.57	17.57	15.61	15.61	18.08	18.08	16.12	16.12	20.86	20.86	12.49	12.49	17.93	17.93	12.3	15.02	15.12	12.9	11.25	13.37	11.49	15.69	9.43	13.41	15.69	19.5	15.12	17.57	15.61	18.08	16.12	20.86	12.49	17.93	12.3
CH4_ml	416.0	203.3	275.0	128.9	216.4	146.9	212.2	137.7	251.0	171.7	416.0	132.7	187.6	103.1	76.9	146.9	212.2	137.7	186.2	272.5	416.0	203.3	275.0	128.9	216.4	146.9	212.2	137.7	251.0	230.4	230.4	265.3	265.3	167.1	167.1	241.1	272.5	416.0	416.0	203.3	203.3	275.0	76.9	146.9	212.2	137.7	186.2	272.5	177.5	167.1	152.7	122.9	161.6	117.1	185.2	109.5	132.3	230.4	265.3	167.1	241.1	165.1	223.9	199.6	299.3	166.2	215.8	272.5	275.0	128.9	128.9	216.4	216.4	146.9	146.9	212.2	212.2	137.7	137.7	251.0	251.0	171.7	416.0	132.7	187.6	103.1	241.1	165.1	165.1	223.9	223.9	199.6	199.6	299.3	299.3	166.2	166.2	215.8	215.8	158.6	177.5	167.1	152.7	122.9	161.6	117.1	185.2	109.5	132.3	230.4	265.3	167.1	241.1	165.1	223.9	199.6	299.3	166.2	215.8	158.6
NH3N_d	5.92	3.03	3.25	2.51	2.85	2.92	3.32	2.61	2.52	4.33	5.34	3.03	3.6	2.33	2.52	2.92	3.32	2.83	2.46	5.11	5.92	3.03	3.25	2.51	2.85	2.92	3.32	2.61	2.52	5.38	5.38	5.42	5.42	3.55	3.55	3.83	5.11	5.92	5.92	3.03	3.03	3.25	2.52	2.92	3.32	2.83	2.46	5.11	5.38	3.43	3.78	2.77	2.88	3.92	3.92	2.95	3.08	5.38	5.42	3.55	3.83	2.84	2.96	3.87	4.02	2.99	2.92	5.11	3.25	2.51	2.51	2.85	2.85	2.92	2.92	3.32	3.32	2.61	2.61	2.52	2.52	4.33	5.34	3.03	3.6	2.33	3.83	2.84	2.84	2.96	2.96	3.87	3.87	4.02	4.02	2.99	2.99	2.92	2.92	5.39	5.38	3.43	3.78	2.77	2.88	3.92	3.92	2.95	3.08	5.38	5.42	3.55	3.83	2.84	2.96	3.87	4.02	2.99	2.92	5.39
Acetate_d	19.23	15.56	16.84	15.28	15.89	13.91	14.68	13.22	12.42	15.16	17.32	15.56	18.65	14.18	14.02	13.91	14.68	14.33	12.09	17.9	19.23	15.56	16.84	15.28	15.89	13.91	14.68	13.22	12.42	19.01	19.01	21.87	21.87	18.44	18.44	19.47	17.9	19.23	19.23	15.56	15.56	16.84	14.02	13.91	14.68	14.33	12.09	17.9	21.69	17.78	19.21	18.0	19.44	19.28	18.74	17.58	17.68	19.01	21.87	18.44	19.47	18.44	19.96	19.07	19.22	17.82	16.77	17.9	16.84	15.28	15.28	15.89	15.89	13.91	13.91	14.68	14.68	13.22	13.22	12.42	12.42	15.16	17.32	15.56	18.65	14.18	19.47	18.44	18.44	19.96	19.96	19.07	19.07	19.22	19.22	17.82	17.82	16.77	16.77	19.06	21.69	17.78	19.21	18.0	19.44	19.28	18.74	17.58	17.68	19.01	21.87	18.44	19.47	18.44	19.96	19.07	19.22	17.82	16.77	19.06
Propionate_d	6.59	5.97	5.94	6.14	6.53	6.28	5.96	5.59	5.69	5.02	5.93	5.97	6.58	5.7	5.76	6.28	5.96	6.06	5.54	5.92	6.59	5.97	5.94	6.14	6.53	6.28	5.96	5.59	5.69	6.68	6.68	8.11	8.11	7.32	7.32	7.59	5.92	6.59	6.59	5.97	5.97	5.94	5.76	6.28	5.96	6.06	5.54	5.92	8.04	7.06	7.49	7.14	7.65	7.58	7.8	7.69	8.47	6.68	8.11	7.32	7.59	7.32	7.86	7.5	8.01	7.8	8.03	5.92	5.94	6.14	6.14	6.53	6.53	6.28	6.28	5.96	5.96	5.59	5.59	5.69	5.69	5.02	5.93	5.97	6.58	5.7	7.59	7.32	7.32	7.86	7.86	7.5	7.5	8.01	8.01	7.8	7.8	8.03	8.03	6.69	8.04	7.06	7.49	7.14	7.65	7.58	7.8	7.69	8.47	6.68	8.11	7.32	7.59	7.32	7.86	7.5	8.01	7.8	8.03	6.69
IsoButyrate_d	0.45	0.29	0.29	0.27	0.3	0.27	0.29	0.24	0.22	0.34	0.41	0.29	0.33	0.26	0.26	0.27	0.29	0.26	0.22	0.4	0.45	0.29	0.29	0.27	0.3	0.27	0.29	0.24	0.22	0.35	0.35	0.36	0.36	0.27	0.27	0.29	0.4	0.45	0.45	0.29	0.29	0.29	0.26	0.27	0.29	0.26	0.22	0.4	0.35	0.26	0.29	0.24	0.26	0.28	0.28	0.25	0.25	0.35	0.36	0.27	0.29	0.25	0.27	0.28	0.29	0.26	0.24	0.4	0.29	0.27	0.27	0.3	0.3	0.27	0.27	0.29	0.29	0.24	0.24	0.22	0.22	0.34	0.41	0.29	0.33	0.26	0.29	0.25	0.25	0.27	0.27	0.28	0.28	0.29	0.29	0.26	0.26	0.24	0.24	0.35	0.35	0.26	0.29	0.24	0.26	0.28	0.28	0.25	0.25	0.35	0.36	0.27	0.29	0.25	0.27	0.28	0.29	0.26	0.24	0.35
Butyrate_d	10.43	7.7	6.07	7.5	8.03	7.42	7.13	6.43	5.91	7.41	9.39	7.7	6.72	6.96	7.08	7.42	7.13	6.97	5.76	8.75	10.43	7.7	6.07	7.5	8.03	7.42	7.13	6.43	5.91	5.73	5.73	5.43	5.43	4.47	4.47	4.51	8.75	10.43	10.43	7.7	7.7	6.07	7.08	7.42	7.13	6.97	5.76	8.75	5.39	4.31	4.45	3.58	3.8	5.14	4.57	4.01	3.76	5.73	5.43	4.47	4.51	3.67	3.9	5.09	4.69	4.06	3.57	8.75	6.07	7.5	7.5	8.03	8.03	7.42	7.42	7.13	7.13	6.43	6.43	5.91	5.91	7.41	9.39	7.7	6.72	6.96	4.51	3.67	3.67	3.9	3.9	5.09	5.09	4.69	4.69	4.06	4.06	3.57	3.57	5.74	5.39	4.31	4.45	3.58	3.8	5.14	4.57	4.01	3.76	5.73	5.43	4.47	4.51	3.67	3.9	5.09	4.69	4.06	3.57	5.74
IsoValerate_d	1.91	1.07	1.13	1.07	1.03	1.06	0.95	0.88	0.82	1.26	1.72	1.07	1.25	0.99	0.91	1.06	0.95	0.95	0.8	1.49	1.91	1.07	1.13	1.07	1.03	1.06	0.95	0.88	0.82	0.92	0.92	1.11	1.11	0.69	0.69	0.74	1.49	1.91	1.91	1.07	1.07	1.13	0.91	1.06	0.95	0.95	0.8	1.49	1.1	0.67	0.73	0.72	0.83	0.71	0.81	0.68	0.69	0.92	1.11	0.69	0.74	0.74	0.85	0.7	0.84	0.69	0.66	1.49	1.13	1.07	1.07	1.03	1.03	1.06	1.06	0.95	0.95	0.88	0.88	0.82	0.82	1.26	1.72	1.07	1.25	0.99	0.74	0.74	0.74	0.85	0.85	0.7	0.7	0.84	0.84	0.69	0.69	0.66	0.66	0.92	1.1	0.67	0.73	0.72	0.83	0.71	0.81	0.68	0.69	0.92	1.11	0.69	0.74	0.74	0.85	0.7	0.84	0.69	0.66	0.92
Valerate_d	4.06	3.17	2.65	3.21	3.56	3.53	3.32	2.97	3.02	2.7	3.66	3.17	2.93	2.98	3.14	3.53	3.32	3.22	2.94	3.19	4.06	3.17	2.65	3.21	3.56	3.53	3.32	2.97	3.02	2.16	2.16	2.28	2.28	2.36	2.36	2.26	3.19	4.06	4.06	3.17	3.17	2.65	3.14	3.53	3.32	3.22	2.94	3.19	2.26	2.27	2.23	2.31	2.38	2.3	2.29	2.33	2.44	2.16	2.28	2.36	2.26	2.36	2.44	2.28	2.34	2.36	2.31	3.19	2.65	3.21	3.21	3.56	3.56	3.53	3.53	3.32	3.32	2.97	2.97	3.02	3.02	2.7	3.66	3.17	2.93	2.98	2.26	2.36	2.36	2.44	2.44	2.28	2.28	2.34	2.34	2.36	2.36	2.31	2.31	2.16	2.26	2.27	2.23	2.31	2.38	2.3	2.29	2.33	2.44	2.16	2.28	2.36	2.26	2.36	2.44	2.28	2.34	2.36	2.31	2.16
Acetate_Propionate	2.92	2.6	2.84	2.49	2.43	2.22	2.46	2.36	2.18	3.02	2.92	2.6	2.84	2.49	2.43	2.22	2.46	2.36	2.18	3.02	2.92	2.6	2.84	2.49	2.43	2.22	2.46	2.36	2.18	2.85	2.85	2.7	2.7	2.52	2.52	2.56	3.02	2.92	2.92	2.6	2.6	2.84	2.43	2.22	2.46	2.36	2.18	3.02	2.7	2.52	2.56	2.52	2.54	2.54	2.4	2.29	2.09	2.85	2.7	2.52	2.56	2.52	2.54	2.54	2.4	2.29	2.09	3.02	2.84	2.49	2.49	2.43	2.43	2.22	2.22	2.46	2.46	2.36	2.36	2.18	2.18	3.02	2.92	2.6	2.84	2.49	2.56	2.52	2.52	2.54	2.54	2.54	2.54	2.4	2.4	2.29	2.29	2.09	2.09	2.85	2.7	2.52	2.56	2.52	2.54	2.54	2.4	2.29	2.09	2.85	2.7	2.52	2.56	2.52	2.54	2.54	2.4	2.29	2.09	2.85
VFA_d	42.67	33.76	32.92	33.47	35.32	32.46	32.32	29.32	28.09	31.9	38.43	33.76	36.46	31.07	31.17	32.46	32.32	31.78	27.35	37.65	42.67	33.76	32.92	33.47	35.32	32.46	32.32	29.32	28.09	34.85	34.85	39.16	39.16	33.55	33.55	34.87	37.65	42.67	42.67	33.76	33.76	32.92	31.17	32.46	32.32	31.78	27.35	37.65	38.84	32.35	34.4	32.0	34.36	35.3	34.5	32.54	33.29	34.85	39.16	33.55	34.87	32.78	35.28	34.91	35.39	32.98	31.58	37.65	32.92	33.47	33.47	35.32	35.32	32.46	32.46	32.32	32.32	29.32	29.32	28.09	28.09	31.9	38.43	33.76	36.46	31.07	34.87	32.78	32.78	35.28	35.28	34.91	34.91	35.39	35.39	32.98	32.98	31.58	31.58	34.92	38.84	32.35	34.4	32.0	34.36	35.3	34.5	32.54	33.29	34.85	39.16	33.55	34.87	32.78	35.28	34.91	35.39	32.98	31.58	34.92
ph	6.81	6.86	6.83	6.86	6.85	6.84	6.88	6.87	6.86	6.77	6.81	6.81	6.78	6.81	6.85	6.83	6.8	6.85	6.8	6.82	6.81	6.86	6.83	6.86	6.85	6.84	6.88	6.87	6.86	6.88	6.88	6.87	6.87	6.89	6.89	6.87	6.82	6.81	6.81	6.86	6.86	6.83	6.85	6.83	6.8	6.85	6.8	6.82	6.82	6.83	6.85	6.85	6.82	6.86	6.83	6.73	6.86	6.88	6.87	6.89	6.87	6.89	6.88	6.86	6.85	6.88	6.88	6.82	6.83	6.86	6.86	6.85	6.85	6.84	6.84	6.88	6.88	6.87	6.87	6.86	6.86	6.77	6.81	6.81	6.78	6.81	6.87	6.89	6.89	6.88	6.88	6.86	6.86	6.85	6.85	6.88	6.88	6.88	6.88	6.85	6.82	6.83	6.85	6.85	6.82	6.86	6.83	6.73	6.86	6.88	6.87	6.89	6.87	6.89	6.88	6.86	6.85	6.88	6.88	6.85
