#SampleID	A1007	A1008	A1009	A1010	A1011	A1012	A1013	A1014	A1015	A1016	A1017	A1018	A1019	A1020	A1021	A1022	A1023	A1024	A1025	A1026	A2007	A2008	A2009	A2010	A2011	A2012	A2013	A2014	A2015	A2016	A2017	A2018	A2019	A2020	A2021	A2022	A2023	A2024	A2025	A2026
A1007	0.0	0.6254189944134079	0.2011173184357542	0.25027932960893856	0.31424581005586594	0.2446927374301676	0.21536312849162006	0.5494413407821229	0.1877094972067039	0.31033519553072625	0.6	0.2418994413407821	0.1857541899441341	0.2410614525139665	0.2477653631284916	0.29553072625698323	0.2360335195530726	0.4134078212290503	0.22374301675977654	0.4245810055865922	0.2706703910614525	0.6849162011173184	0.2379888268156425	0.5089385474860335	0.2840782122905028	0.6960893854748603	0.1924581005586592	0.8016759776536313	0.2991620111731844	0.4765363128491621	0.28910614525139666	0.7519553072625699	0.2723463687150838	0.6142458100558659	0.17849162011173186	0.3731843575418993	0.26256983240223464	0.5405027932960894	0.2807262569832402	0.5905027932960893
A1008	0.6254189944134079	0.0	0.5667597765363128	0.4474860335195531	0.35307262569832404	0.4318435754189944	0.4924581005586592	0.19860335195530726	0.5382681564245809	0.6332402234636871	0.1952513966480447	0.441340782122905	0.6371508379888268	0.6673184357541899	0.6418994413407821	0.6932960893854748	0.6910614525139664	0.5033519553072626	0.6159217877094972	0.4854748603351956	0.5773743016759777	0.22262569832402235	0.4592178770949721	0.3849162011173185	0.711173184357542	0.2829608938547486	0.5268156424581005	0.3812849162011173	0.6994413407821229	0.3055865921787709	0.5033519553072626	0.2536312849162011	0.7527932960893855	0.23156424581005586	0.5558659217877095	0.3793296089385475	0.5743016759776536	0.5	0.711173184357542	0.5402234636871508
A1009	0.2011173184357542	0.5667597765363128	0.0	0.2075418994413408	0.2620111731843575	0.3089385474860335	0.1888268156424581	0.46731843575419	0.20195530726256986	0.4240223463687151	0.5273743016759777	0.203072625698324	0.18491620111731846	0.3614525139664804	0.29497206703910617	0.3569832402234637	0.22849162011173185	0.4603351955307263	0.2550279329608939	0.4399441340782123	0.11871508379888268	0.6284916201117319	0.18798882681564247	0.4508379888268157	0.20977653631284915	0.6148044692737429	0.12318435754189945	0.7279329608938547	0.21312849162011172	0.420391061452514	0.2516759776536313	0.6731843575418994	0.21843575418994413	0.5477653631284917	0.18687150837988828	0.3120111731843576	0.2740223463687151	0.5393854748603352	0.2058659217877095	0.5893854748603352
A1010	0.25027932960893856	0.4474860335195531	0.2075418994413408	0.0	0.17905027932960893	0.21201117318435755	0.15363128491620112	0.34497206703910616	0.2181564245810056	0.3452513966480447	0.4089385474860335	0.13379888268156426	0.29134078212290504	0.3089385474860335	0.28156424581005585	0.3298882681564246	0.3600558659217877	0.40558659217877097	0.2980446927374302	0.38296089385474863	0.2631284916201117	0.5391061452513967	0.2100558659217877	0.38519553072625706	0.3863128491620112	0.5100558659217878	0.196927374301676	0.6349162011173184	0.3824022346368715	0.32430167597765364	0.288268156424581	0.579050279329609	0.3924581005586592	0.4508379888268157	0.2472067039106145	0.21731843575418994	0.3326815642458101	0.4960893854748603	0.37374301675977656	0.5486033519553073
A1011	0.31424581005586594	0.35307262569832404	0.2620111731843575	0.17905027932960893	0.0	0.2287709497206704	0.2100558659217877	0.2768156424581006	0.24860335195530725	0.458659217877095	0.3139664804469274	0.13016759776536313	0.3206703910614525	0.4047486033519553	0.3150837988826816	0.4	0.3684357541899441	0.3726256983240224	0.33519553072625696	0.3843575418994413	0.29245810055865923	0.4290502793296089	0.2044692737430168	0.3	0.3877094972067039	0.4421787709497207	0.220391061452514	0.5611731843575419	0.3745810055865922	0.2452513966480447	0.2709497206703911	0.4896648044692738	0.4270949720670391	0.38212290502793295	0.27905027932960896	0.203072625698324	0.34217877094972066	0.4832402234636872	0.38994413407821227	0.5195530726256983
A1012	0.2446927374301676	0.4318435754189944	0.3089385474860335	0.21201117318435755	0.2287709497206704	0.0	0.2896648044692737	0.3340782122905028	0.2980446927374302	0.3058659217877095	0.390782122905028	0.1787709497206704	0.3424581005586592	0.2715083798882681	0.32849162011173183	0.3396648044692737	0.4036312849162011	0.4335195530726257	0.3717877094972067	0.4346368715083799	0.3963687150837989	0.48519553072625704	0.3184357541899441	0.2896648044692737	0.45027932960893857	0.4717877094972067	0.2717877094972067	0.5835195530726257	0.4567039106145251	0.2636871508379888	0.4064245810055866	0.5329608938547487	0.4254189944134078	0.3952513966480447	0.3268156424581006	0.2966480446927374	0.4159217877094972	0.5405027932960894	0.4374301675977654	0.5932960893854748
A1013	0.21536312849162006	0.4924581005586592	0.1888268156424581	0.15363128491620112	0.2100558659217877	0.2896648044692737	0.0	0.3642458100558659	0.1441340782122905	0.34916201117318435	0.4377094972067039	0.15363128491620112	0.2346368715083799	0.3008379888268156	0.22318435754189944	0.3094972067039106	0.270391061452514	0.34804469273743016	0.21256983240223465	0.31731843575418994	0.2245810055865922	0.5902234636871508	0.1664804469273743	0.4385474860335196	0.323463687150838	0.5592178770949721	0.15893854748603353	0.6801675977653632	0.3122905027932961	0.355586592178771	0.2041899441340782	0.6148044692737429	0.3136871508379888	0.496927374301676	0.16620111731843576	0.2432960893854749	0.2357541899441341	0.43826815642458095	0.2857541899441341	0.4966480446927374
A1014	0.5494413407821229	0.19860335195530726	0.46731843575419	0.34497206703910616	0.2768156424581006	0.3340782122905028	0.3642458100558659	0.0	0.42681564245810055	0.524022346368715	0.13100558659217876	0.3315642458100559	0.5449720670391062	0.5617318435754189	0.5173184357541899	0.5743016759776536	0.5916201117318436	0.43435754189944137	0.4891061452513967	0.33212290502793296	0.4759776536312849	0.3128491620111732	0.3645251396648045	0.3516759776536313	0.5885474860335196	0.34134078212290503	0.4175977653631285	0.4748603351955307	0.5731843575418994	0.18994413407821228	0.3600558659217877	0.3237430167597765	0.6396648044692738	0.2240223463687151	0.4527932960893855	0.2620111731843575	0.4480446927374302	0.34804469273743016	0.5849162011173185	0.4
A1015	0.1877094972067039	0.5382681564245809	0.20195530726256986	0.2181564245810056	0.24860335195530725	0.2980446927374302	0.1441340782122905	0.42681564245810055	0.0	0.2812849162011173	0.4960893854748603	0.17793296089385474	0.14134078212290502	0.2611731843575419	0.19832402234636876	0.27430167597765365	0.1863128491620112	0.3150837988826816	0.1885474860335196	0.3594972067039106	0.2547486033519553	0.644413407821229	0.2100558659217877	0.4620111731843575	0.30446927374301674	0.6209497206703911	0.17597765363128492	0.7497206703910615	0.2963687150837989	0.42150837988826817	0.2368715083798883	0.6865921787709497	0.29860335195530724	0.5575418994413408	0.1435754189944134	0.31340782122905025	0.23379888268156426	0.4837988826815642	0.2687150837988827	0.5402234636871508
A1016	0.31033519553072625	0.6332402234636871	0.4240223463687151	0.3452513966480447	0.458659217877095	0.3058659217877095	0.34916201117318435	0.524022346368715	0.2812849162011173	0.0	0.6047486033519553	0.3662011173184357	0.3092178770949721	0.17653631284916202	0.2405027932960894	0.2047486033519553	0.3729050279329609	0.3664804469273743	0.3533519553072625	0.4089385474860335	0.482122905027933	0.7335195530726257	0.4611731843575419	0.5379888268156424	0.4779329608938547	0.7022346368715083	0.4114525139664805	0.8368715083798882	0.5150837988826815	0.5251396648044693	0.4946927374301676	0.7773743016759777	0.43826815642458095	0.6491620111731844	0.3885474860335196	0.4798882681564246	0.43435754189944137	0.5284916201117319	0.4622905027932961	0.5832402234636872
A1017	0.6	0.1952513966480447	0.5273743016759777	0.4089385474860335	0.3139664804469274	0.390782122905028	0.4377094972067039	0.13100558659217876	0.4960893854748603	0.6047486033519553	0.0	0.39497206703910615	0.5935754189944135	0.626536312849162	0.5729050279329609	0.6391061452513966	0.6424581005586593	0.455586592178771	0.5282122905027933	0.35921787709497205	0.5363128491620112	0.2608938547486033	0.4220670391061453	0.34441340782122903	0.6519553072625698	0.3064245810055866	0.4818435754189944	0.4357541899441341	0.6136871508379889	0.20837988826815645	0.4136871508379889	0.2877094972067039	0.7033519553072626	0.20251396648044687	0.5231843575418994	0.3215083798882681	0.5050279329608939	0.4145251396648045	0.6513966480446928	0.4276536312849162
A1018	0.2418994413407821	0.441340782122905	0.203072625698324	0.13379888268156426	0.13016759776536313	0.1787709497206704	0.15363128491620112	0.3315642458100559	0.17793296089385474	0.3662011173184357	0.39497206703910615	0.0	0.2525139664804469	0.31424581005586594	0.2363128491620112	0.3081005586592179	0.29748603351955305	0.3877094972067039	0.2745810055865921	0.37653631284916206	0.2849162011173184	0.511731843575419	0.1941340782122905	0.329608938547486	0.3541899441340782	0.4910614525139665	0.1418994413407821	0.608659217877095	0.33826815642458097	0.2804469273743017	0.2684357541899441	0.5472067039106145	0.3569832402234637	0.4209497206703911	0.20977653631284915	0.2022346368715084	0.3008379888268156	0.4910614525139665	0.3184357541899441	0.5435754189944134
A1019	0.1857541899441341	0.6371508379888268	0.18491620111731846	0.29134078212290504	0.3206703910614525	0.3424581005586592	0.2346368715083799	0.5449720670391062	0.14134078212290502	0.3092178770949721	0.5935754189944135	0.2525139664804469	0.0	0.2293296089385475	0.20642458100558655	0.25949720670391063	0.0893854748603352	0.3248603351955307	0.17318435754189945	0.3958100558659218	0.24441340782122906	0.6960893854748603	0.24860335195530725	0.5226256983240224	0.2516759776536313	0.6924581005586592	0.18687150837988828	0.8175977653631284	0.2639664804469274	0.4896648044692738	0.3050279329608939	0.7553072625698324	0.220391061452514	0.6212290502793296	0.17541899441340786	0.38379888268156426	0.21620111731843572	0.5122905027932961	0.21843575418994413	0.5592178770949721
A1020	0.2410614525139665	0.6673184357541899	0.3614525139664804	0.3089385474860335	0.4047486033519553	0.2715083798882681	0.3008379888268156	0.5617318435754189	0.2611731843575419	0.17653631284916202	0.626536312849162	0.31424581005586594	0.2293296089385475	0.0	0.19553072625698326	0.1946927374301676	0.24916201117318434	0.3036312849162011	0.3064245810055866	0.4243016759776536	0.41871508379888267	0.7270949720670391	0.3972067039106145	0.5324022346368715	0.4284916201117319	0.6983240223463687	0.3541899441340782	0.8307262569832402	0.4536312849162011	0.5061452513966479	0.4276536312849162	0.770949720670391	0.3885474860335196	0.6388268156424581	0.3298882681564246	0.4198324022346369	0.3815642458100559	0.5346368715083799	0.4053072625698324	0.5818435754189945
A1021	0.2477653631284916	0.6418994413407821	0.29497206703910617	0.28156424581005585	0.3150837988826816	0.32849162011173183	0.22318435754189944	0.5173184357541899	0.19832402234636876	0.2405027932960894	0.5729050279329609	0.2363128491620112	0.20642458100558655	0.19553072625698326	0.0	0.138268156424581	0.2150837988826816	0.2952513966480447	0.17569832402234636	0.3594972067039106	0.34022346368715084	0.6871508379888268	0.2952513966480447	0.5153631284916201	0.36396648044692737	0.6759776536312849	0.2684357541899441	0.7854748603351955	0.36703910614525137	0.4634078212290503	0.3198324022346369	0.7298882681564246	0.3279329608938548	0.6013966480446927	0.226536312849162	0.3472067039106145	0.2608938547486033	0.4701117318435754	0.3002793296089385	0.5273743016759777
A1022	0.29553072625698323	0.6932960893854748	0.3569832402234637	0.3298882681564246	0.4	0.3396648044692737	0.3094972067039106	0.5743016759776536	0.27430167597765365	0.2047486033519553	0.6391061452513966	0.3081005586592179	0.25949720670391063	0.1946927374301676	0.138268156424581	0.0	0.2787709497206704	0.3642458100558659	0.28212290502793297	0.4279329608938547	0.4027932960893855	0.7326815642458101	0.3863128491620112	0.5371508379888268	0.4083798882681564	0.7145251396648045	0.3410614525139665	0.8262569832402235	0.4212290502793296	0.5069832402234636	0.41256983240223466	0.7790502793296089	0.3748603351955308	0.6435754189944134	0.3111731843575419	0.3960893854748603	0.3631284916201117	0.5391061452513967	0.3740223463687151	0.5910614525139665
A1023	0.2360335195530726	0.6910614525139664	0.22849162011173185	0.3600558659217877	0.3684357541899441	0.4036312849162011	0.270391061452514	0.5916201117318436	0.1863128491620112	0.3729050279329609	0.6424581005586593	0.29748603351955305	0.0893854748603352	0.24916201117318434	0.2150837988826816	0.2787709497206704	0.0	0.2896648044692737	0.17737430167597765	0.43519553072625705	0.2868715083798883	0.7455307262569832	0.2958100558659218	0.5642458100558659	0.2860335195530726	0.7427374301675977	0.22262569832402235	0.8561452513966481	0.3002793296089385	0.5307262569832403	0.3446927374301676	0.8027932960893854	0.2365921787709497	0.6645251396648044	0.20921787709497205	0.4259776536312849	0.22206703910614525	0.5421787709497207	0.21033519553072624	0.5745810055865922
A1024	0.4134078212290503	0.5033519553072626	0.4603351955307263	0.40558659217877097	0.3726256983240224	0.4335195530726257	0.34804469273743016	0.43435754189944137	0.3150837988826816	0.3664804469273743	0.455586592178771	0.3877094972067039	0.3248603351955307	0.3036312849162011	0.2952513966480447	0.3642458100558659	0.2896648044692737	0.0	0.2745810055865921	0.24748603351955306	0.4776536312849162	0.6041899441340782	0.38826815642458096	0.53268156424581	0.511731843575419	0.626536312849162	0.4192737430167598	0.7712290502793296	0.5083798882681564	0.4293296089385475	0.3812849162011173	0.6667597765363128	0.4893854748603352	0.5458100558659218	0.3569832402234637	0.3874301675977654	0.3184357541899441	0.3539106145251397	0.4379888268156424	0.4136871508379889
A1025	0.22374301675977654	0.6159217877094972	0.2550279329608939	0.2980446927374302	0.33519553072625696	0.3717877094972067	0.21256983240223465	0.4891061452513967	0.1885474860335196	0.3533519553072625	0.5282122905027933	0.2745810055865921	0.17318435754189945	0.3064245810055866	0.17569832402234636	0.28212290502793297	0.17737430167597765	0.2745810055865921	0.0	0.30446927374301674	0.2860335195530726	0.6603351955307263	0.2273743016759777	0.5480446927374302	0.3240223463687151	0.662290502793296	0.22681564245810054	0.7851955307262571	0.3251396648044693	0.4346368715083799	0.24860335195530725	0.7039106145251397	0.2720670391061453	0.5717877094972067	0.17486033519553076	0.31564245810055863	0.14078212290502792	0.4310055865921788	0.2329608938547486	0.4650837988826816
