#SampleID	A1067	A1068	A1069	A1070	A1071	A1072	A1073	A1074	A1075	A1076	A2067	A2068	A2069	A2070	A2071	A2072	A2073	A2074	A2075	A2076
A1067	0.0	0.25	0.1794871794871795	0.2564102564102564	0.4	0.42105263157894735	0.3076923076923077	0.2307692307692308	0.3	0.35897435897435903	0.21052631578947367	0.2564102564102564	0.19444444444444445	0.225	0.36585365853658536	0.2564102564102564	0.28205128205128205	0.3	0.375	0.4
A1068	0.25	0.0	0.13513513513513514	0.16666666666666666	0.32432432432432434	0.3888888888888889	0.2702702702702703	0.1891891891891892	0.3076923076923077	0.3684210526315789	0.21621621621621626	0.11428571428571427	0.25	0.18421052631578946	0.2894736842105263	0.16666666666666666	0.375	0.2631578947368421	0.38461538461538464	0.41025641025641024
A1069	0.1794871794871795	0.13513513513513514	0.0	0.1388888888888889	0.25	0.3611111111111111	0.19444444444444445	0.16216216216216214	0.1891891891891892	0.2972972972972973	0.1891891891891892	0.1891891891891892	0.17142857142857146	0.10810810810810813	0.21621621621621626	0.08571428571428573	0.3076923076923077	0.1891891891891892	0.2702702702702703	0.34210526315789475
A1070	0.2564102564102564	0.16666666666666666	0.1388888888888889	0.0	0.2352941176470588	0.30303030303030304	0.17647058823529413	0.14285714285714285	0.2222222222222222	0.2857142857142857	0.2222222222222222	0.2222222222222222	0.2571428571428571	0.1388888888888889	0.2	0.1176470588235294	0.2972972972972973	0.17142857142857146	0.3055555555555556	0.3333333333333333
A1071	0.4	0.32432432432432434	0.25	0.2352941176470588	0.0	0.26666666666666666	0.12903225806451613	0.2571428571428571	0.18181818181818185	0.25	0.2857142857142857	0.2857142857142857	0.2727272727272727	0.25	0.15625	0.18181818181818185	0.21212121212121213	0.125	0.21875	0.1935483870967742
A1072	0.42105263157894735	0.3888888888888889	0.3611111111111111	0.30303030303030304	0.26666666666666666	0.0	0.25806451612903225	0.3235294117647059	0.4	0.3225806451612903	0.4	0.35294117647058826	0.2903225806451613	0.3611111111111111	0.28125	0.30303030303030304	0.3333333333333333	0.30303030303030304	0.34375	0.26666666666666666
A1073	0.3076923076923077	0.2702702702702703	0.19444444444444445	0.17647058823529413	0.12903225806451613	0.25806451612903225	0.0	0.2	0.17647058823529413	0.29411764705882354	0.2777777777777778	0.2777777777777778	0.2647058823529412	0.19444444444444445	0.15151515151515152	0.12121212121212123	0.15151515151515152	0.0625	0.2647058823529412	0.1875
A1074	0.2307692307692308	0.1891891891891892	0.16216216216216214	0.14285714285714285	0.2571428571428571	0.3235294117647059	0.2	0.0	0.19444444444444445	0.2058823529411765	0.2432432432432433	0.2432432432432433	0.22857142857142854	0.16216216216216214	0.2702702702702703	0.19444444444444445	0.2702702702702703	0.19444444444444445	0.32432432432432434	0.3055555555555556
A1075	0.3	0.3076923076923077	0.1891891891891892	0.2222222222222222	0.18181818181818185	0.4	0.17647058823529413	0.19444444444444445	0.0	0.2352941176470588	0.2702702702702703	0.35897435897435903	0.3055555555555556	0.1891891891891892	0.25	0.2222222222222222	0.2	0.17142857142857146	0.2571428571428571	0.18181818181818185
A1076	0.35897435897435903	0.3684210526315789	0.2972972972972973	0.2857142857142857	0.25	0.3225806451612903	0.29411764705882354	0.2058823529411765	0.2352941176470588	0.0	0.2352941176470588	0.3783783783783784	0.2727272727272727	0.34210526315789475	0.2647058823529412	0.2857142857142857	0.3142857142857143	0.2857142857142857	0.3235294117647059	0.25
A2067	0.21052631578947367	0.21621621621621626	0.1891891891891892	0.2222222222222222	0.2857142857142857	0.4	0.2777777777777778	0.2432432432432433	0.2702702702702703	0.2352941176470588	0.0	0.17142857142857146	0.2571428571428571	0.28205128205128205	0.25	0.17142857142857146	0.2972972972972973	0.2702702702702703	0.35135135135135137	0.3333333333333333
A2068	0.2564102564102564	0.11428571428571427	0.1891891891891892	0.2222222222222222	0.2857142857142857	0.35294117647058826	0.2777777777777778	0.2432432432432433	0.35897435897435903	0.3783783783783784	0.17142857142857146	0.0	0.2571428571428571	0.2368421052631579	0.25	0.17142857142857146	0.34210526315789475	0.2702702702702703	0.3947368421052632	0.3783783783783784
A2069	0.19444444444444445	0.25	0.17142857142857146	0.2571428571428571	0.2727272727272727	0.2903225806451613	0.2647058823529412	0.22857142857142854	0.3055555555555556	0.2727272727272727	0.2571428571428571	0.2571428571428571	0.0	0.2222222222222222	0.3333333333333333	0.2571428571428571	0.3783783783783784	0.3055555555555556	0.24242424242424246	0.37142857142857133
A2070	0.225	0.18421052631578946	0.10810810810810813	0.1388888888888889	0.25	0.3611111111111111	0.19444444444444445	0.16216216216216214	0.1891891891891892	0.34210526315789475	0.28205128205128205	0.2368421052631579	0.2222222222222222	0.0	0.21621621621621626	0.1891891891891892	0.3076923076923077	0.1891891891891892	0.2702702702702703	0.34210526315789475
A2071	0.36585365853658536	0.2894736842105263	0.21621621621621626	0.2	0.15625	0.28125	0.15151515151515152	0.2702702702702703	0.25	0.2647058823529412	0.25	0.25	0.3333333333333333	0.21621621621621626	0.0	0.14705882352941174	0.22857142857142854	0.14705882352941174	0.3333333333333333	0.21212121212121213
A2072	0.2564102564102564	0.16666666666666666	0.08571428571428573	0.1176470588235294	0.18181818181818185	0.30303030303030304	0.12121212121212123	0.19444444444444445	0.2222222222222222	0.2857142857142857	0.17142857142857146	0.17142857142857146	0.2571428571428571	0.1891891891891892	0.14705882352941174	0.0	0.25	0.1176470588235294	0.3055555555555556	0.2857142857142857
A2073	0.28205128205128205	0.375	0.3076923076923077	0.2972972972972973	0.21212121212121213	0.3333333333333333	0.15151515151515152	0.2702702702702703	0.2	0.3142857142857143	0.2972972972972973	0.34210526315789475	0.3783783783783784	0.3076923076923077	0.22857142857142854	0.25	0.0	0.14705882352941174	0.3333333333333333	0.15625
A2074	0.3	0.2631578947368421	0.1891891891891892	0.17142857142857146	0.125	0.30303030303030304	0.0625	0.19444444444444445	0.17142857142857146	0.2857142857142857	0.2702702702702703	0.2702702702702703	0.3055555555555556	0.1891891891891892	0.14705882352941174	0.1176470588235294	0.14705882352941174	0.0	0.3055555555555556	0.2352941176470588
A2075	0.375	0.38461538461538464	0.2702702702702703	0.3055555555555556	0.21875	0.34375	0.2647058823529412	0.32432432432432434	0.2571428571428571	0.3235294117647059	0.35135135135135137	0.3947368421052632	0.24242424242424246	0.2702702702702703	0.3333333333333333	0.3055555555555556	0.3333333333333333	0.3055555555555556	0.0	0.3235294117647059
A2076	0.4	0.41025641025641024	0.34210526315789475	0.3333333333333333	0.1935483870967742	0.26666666666666666	0.1875	0.3055555555555556	0.18181818181818185	0.25	0.3333333333333333	0.3783783783783784	0.37142857142857133	0.34210526315789475	0.21212121212121213	0.2857142857142857	0.15625	0.2352941176470588	0.3235294117647059	0.0
